fournisseur;siret_fournisseur;siret_payeur;code_fournisseur;code_maison;maison;num_commande;date_commande;num_bl;date_bl;num_facture;date_facture;date_echeance;nature_facture;devise;reference_article;code_ean;libelle;famille;qte;px_unitaire_brut;px_unitaire_net;montant_brut;montant_remise;montant_net;taux_tva;montant_tva;montant_ttc;nom_client;num_serie;Commentaire;
"MG Developpement";"441407061";"517780870";;"502";"ACUI";"C502002508";"20221108";"17298";"20221115";"f_12616";"20221115";"20221231";"FA";"EUR";"3661871125642";"3661871125642";"LINGETTE NETTOYANTE AUDIO - Pack de 20 boites de 50 Lingettes";"Nettoyage";1.00;;42.00;;;42.00;2000;8.40;50.40;;;;
"MG Developpement";"441407061";"517780870";;"502";"ACUI";"C502002508";"20221108";"17298";"20221115";"f_12616";"20221115";"20221231";"FA";"EUR";"3661871125697";"3661871125697";"SPRAY GAZ SECHAGE (Labo) 150 ML - Unité";"Séchage";5.00;;3.50;;;17.50;2000;3.50;21.00;;;;
"MG Developpement";"441407061";"517780870";;"502";;"C502002508";"20221108";"17298";"20221115";"f_12616";"20221115";"20221231";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;16.00;;;16.00;2000;3.20;19.20;;;;
"MG Developpement";"441407061";"517780870";;"GA302";"GRAN";"C302000023";"20221110";"17299";"20221115";"f_12617";"20221115";"20221231";"FA";"EUR";"3661871126045";"3661871126045";"LINGETTES NETTOYANTE AUDIO (GA) - Pack 20 boites de 50 Lingettes";"Nettoyage";2.00;;42.00;;;84.00;2000;16.80;100.80;;;;
"MG Developpement";"441407061";"517780870";;"GA302";"GRAN";"C302000023";"20221110";"17299";"20221115";"f_12617";"20221115";"20221231";"FA";"EUR";"3661871125994";"3661871125994";"MINI BROSS NET 50ML (GA) - Pack de 24";"Nettoyage";2.00;;58.80;;;117.60;2000;23.52;141.12;;;;
"MG Developpement";"441407061";"517780870";;"GA302";;"C302000023";"20221110";"17299";"20221115";"f_12617";"20221115";"20221231";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;22.00;;;22.00;2000;4.40;26.40;;;;
"MG Developpement";"441407061";"517780870";;"ARI006";"GRAN";"C806000001";"20221114";"17300";"20221115";"f_12618";"20221115";"20221231";"FA";"EUR";"3661871125994";"3661871125994";"MINI BROSS NET 50ML (GA) - Pack de 24";"Nettoyage";2.00;;58.80;;;117.60;2000;23.52;141.12;;;;
"MG Developpement";"441407061";"517780870";;"ARI006";;"C806000001";"20221114";"17300";"20221115";"f_12618";"20221115";"20221231";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;12.00;;;12.00;2000;2.40;14.40;;;;
"MG Developpement";"441407061";"517780870";;"GA305";"GRAN";"C305000181";"20221110";"17301";"20221115";"f_12619";"20221115";"20221231";"FA";"EUR";"3661871125994";"3661871125994";"MINI BROSS NET 50ML (GA) - Pack de 24";"Nettoyage";2.00;;58.80;;;117.60;2000;23.52;141.12;;;;
"MG Developpement";"441407061";"517780870";;"GA305";;"C305000181";"20221110";"17301";"20221115";"f_12619";"20221115";"20221231";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;12.00;;;12.00;2000;2.40;14.40;;;;
"MG Developpement";"441407061";"517780870";;"588";"ACUI";"LINGETTE _";"20221110";"17303";"20221115";"f_12620";"20221115";"20221231";"FA";"EUR";"3661871125642";"3661871125642";"LINGETTE NETTOYANTE AUDIO - Pack de 20 boites de 50 Lingettes";"Nettoyage";2.00;;42.00;;;84.00;2000;16.80;100.80;;;;
"MG Developpement";"441407061";"517780870";;"588";;"LINGETTE _";"20221110";"17303";"20221115";"f_12620";"20221115";"20221231";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;12.00;;;12.00;2000;2.40;14.40;;;;
"MG Developpement";"441407061";"517780870";;"538";"ACUI";"C538002183";"20221114";"17304";"20221115";"f_12621";"20221115";"20221231";"FA";"EUR";"3661871125611";"3661871125611";"MINI BROSS NET GAZ 50 ML - Pack de 24";"Nettoyage";2.00;;58.80;;;117.60;2000;23.52;141.12;;;;
"MG Developpement";"441407061";"517780870";;"538";"ACUI";"C538002183";"20221114";"17304";"20221115";"f_12621";"20221115";"20221231";"FA";"EUR";"3661871125642";"3661871125642";"LINGETTE NETTOYANTE AUDIO - Pack de 20 boites de 50 Lingettes";"Nettoyage";2.00;;42.00;;;84.00;2000;16.80;100.80;;;;
"MG Developpement";"441407061";"517780870";;"538";"ACUI";"C538002183";"20221114";"17304";"20221115";"f_12621";"20221115";"20221231";"FA";"EUR";"3661871125659";"3661871125659";"GOBELET DE NETTOYAGE ET DE SECHAGE - Pack de 20";"Mixte";2.00;;24.00;;;48.00;2000;9.60;57.60;;;;
"MG Developpement";"441407061";"517780870";;"538";"ACUI";"C538002183";"20221114";"17304";"20221115";"f_12621";"20221115";"20221231";"FA";"EUR";"3661871125703";"3661871125703";"CAPSULE ASSECHANTE - Pack de 24 boites de 4 capsules";"Séchage";2.00;;48.00;;;96.00;2000;19.20;115.20;;;;
"MG Developpement";"441407061";"517780870";;"503";"ACUI";"C503002586";"20221115";"17323";"20221116";"f_12631";"20221116";"20221231";"FA";"EUR";"3661871125642";"3661871125642";"LINGETTE NETTOYANTE AUDIO - Pack de 20 boites de 50 Lingettes";"Nettoyage";1.00;;42.00;;;42.00;2000;8.40;50.40;;;;
"MG Developpement";"441407061";"517780870";;"503";"ACUI";"C503002586";"20221115";"17323";"20221116";"f_12631";"20221116";"20221231";"FA";"EUR";"3661871125611";"3661871125611";"MINI BROSS NET GAZ 50 ML - Pack de 24";"Nettoyage";1.00;;58.80;;;58.80;2000;11.76;70.56;;;;
"MG Developpement";"441407061";"517780870";;"503";;"C503002586";"20221115";"17323";"20221116";"f_12631";"20221116";"20221231";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;12.00;;;12.00;2000;2.40;14.40;;;;
"MG Developpement";"441407061";"517780870";;"A011";"ACUI";"@15/11/22";"20221115";"17324";"20221116";"f_12632";"20221116";"20221231";"FA";"EUR";"A0012981";"A0012981";"";"Nettoyage";4.00;;2.10;;;8.40;2000;1.68;10.08;;;;
"MG Developpement";"441407061";"517780870";;"A011";"ATTN : Fanny Dehalle";"@15/11/22";"20221115";"17324";"20221116";"f_12632";"20221116";"20221231";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;9.00;;;9.00;2000;1.80;10.80;;;;
"MG Developpement";"441407061";"517780870";;"503";"ACUI";"C503002569";"20221115";"17325";"20221116";"f_12633";"20221116";"20221231";"FA";"EUR";"3661871125611";"3661871125611";"MINI BROSS NET GAZ 50 ML - Pack de 24";"Nettoyage";3.00;;58.80;;;176.40;2000;35.28;211.68;;;;
"MG Developpement";"441407061";"517780870";;"503";;"C503002569";"20221115";"17325";"20221116";"f_12633";"20221116";"20221231";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;12.00;;;12.00;2000;2.40;14.40;;;;
"MG Developpement";"441407061";"517780870";;"GA02";"GRAN";"C120001771";"20221115";"17326";"20221116";"f_12634";"20221116";"20221231";"FA";"EUR";"3661871126007";"3661871126007";"CAPSULE ASSECHANTE (GA) - Pack 24 boites de 4 Capsules";"Séchage";1.00;;48.00;;;48.00;2000;9.60;57.60;;;;
"MG Developpement";"441407061";"517780870";;"GA02";;"C120001771";"20221115";"17326";"20221116";"f_12634";"20221116";"20221231";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;10.00;;;10.00;2000;2.00;12.00;;;;
"MG Developpement";"441407061";"517780870";;"A012";"ACUI";"@16/11/22";"20221116";"17366";"20221117";"f_12643";"20221117";"20230131";"FA";"EUR";"A0012981";"A0012981";"";"Nettoyage";4.00;;2.10;;;8.40;2000;1.68;10.08;;;;
"MG Developpement";"441407061";"517780870";;"A012";"ATTN : Laure Devin";"@16/11/22";"20221116";"17366";"20221117";"f_12643";"20221117";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;10.00;;;10.00;2000;2.00;12.00;;;;
"MG Developpement";"441407061";"517780870";;"A003";"ACUI";"001020";"20221116";"17369";"20221117";"f_12644";"20221117";"20230131";"FA";"EUR";"3661871125703";"3661871125703";"CAPSULE ASSECHANTE - Pack de 24 boites de 4 capsules";"Séchage";1.00;;48.00;;;48.00;2000;9.60;57.60;;;;
"MG Developpement";"441407061";"517780870";;"A003";"ACUI";"001020";"20221116";"17369";"20221117";"f_12644";"20221117";"20230131";"FA";"EUR";"3661871125635";"3661871125635";"COMPRIME EFFERVESCENT - Pack de 24 boites de 20 comprimés";"Nettoyage";1.00;;50.40;;;50.40;2000;10.08;60.48;;;;
"MG Developpement";"441407061";"517780870";;"A003";"ACUI";"001020";"20221116";"17369";"20221117";"f_12644";"20221117";"20230131";"FA";"EUR";"3661871125697";"3661871125697";"SPRAY GAZ SECHAGE (Labo) 150 ML - Unité";"Séchage";2.00;;3.50;;;7.00;2000;1.40;8.40;;;;
"MG Developpement";"441407061";"517780870";;"A003";"ACUI";"001020";"20221116";"17369";"20221117";"f_12644";"20221117";"20230131";"FA";"EUR";"3661871125659";"3661871125659";"GOBELET DE NETTOYAGE ET DE SECHAGE - Pack de 20";"Mixte";1.00;;24.00;;;24.00;2000;4.80;28.80;;;;
"MG Developpement";"441407061";"517780870";;"A003";"ACUI";"001020";"20221116";"17369";"20221117";"f_12644";"20221117";"20230131";"FA";"EUR";"3661871125611";"3661871125611";"MINI BROSS NET GAZ 50 ML - Pack de 24";"Nettoyage";2.00;;58.80;;;117.60;2000;23.52;141.12;;;;
"MG Developpement";"441407061";"517780870";;"A003";"ACUI";"001020";"20221116";"17369";"20221117";"f_12644";"20221117";"20230131";"FA";"EUR";"3661871125642";"3661871125642";"LINGETTE NETTOYANTE AUDIO - Pack de 20 boites de 50 Lingettes";"Nettoyage";2.00;;42.00;;;84.00;2000;16.80;100.80;;;;
"MG Developpement";"441407061";"517780870";;"112";"ACUI";"16112022_1";"20221116";"17384";"20221118";"f_12665";"20221118";"20230131";"FA";"EUR";"3661871125611";"3661871125611";"MINI BROSS NET GAZ 50 ML - Pack de 24";"Nettoyage";1.00;;58.80;;;58.80;2000;11.76;70.56;;;;
"MG Developpement";"441407061";"517780870";;"112";"ACUI";"16112022_1";"20221116";"17384";"20221118";"f_12665";"20221118";"20230131";"FA";"EUR";"3661871125642";"3661871125642";"LINGETTE NETTOYANTE AUDIO - Pack de 20 boites de 50 Lingettes";"Nettoyage";2.00;;42.00;;;84.00;2000;16.80;100.80;;;;
"MG Developpement";"441407061";"517780870";;"112";;"16112022_1";"20221116";"17384";"20221118";"f_12665";"20221118";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;16.00;;;16.00;2000;3.20;19.20;;;;
"MG Developpement";"441407061";"517780870";;"571";"ACUI";"C571000606";"20221115";"17385";"20221118";"f_12666";"20221118";"20230131";"FA";"EUR";"3661871125703";"3661871125703";"CAPSULE ASSECHANTE - Pack de 24 boites de 4 capsules";"Séchage";1.00;;48.00;;;48.00;2000;9.60;57.60;;;;
"MG Developpement";"441407061";"517780870";;"571";"ACUI";"C571000606";"20221115";"17385";"20221118";"f_12666";"20221118";"20230131";"FA";"EUR";"3661871125611";"3661871125611";"MINI BROSS NET GAZ 50 ML - Pack de 24";"Nettoyage";1.00;;58.80;;;58.80;2000;11.76;70.56;;;;
"MG Developpement";"441407061";"517780870";;"571";;"C571000606";"20221115";"17385";"20221118";"f_12666";"20221118";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;12.00;;;12.00;2000;2.40;14.40;;;;
"MG Developpement";"441407061";"517780870";;"576";"ACUI";"MG4_187871";"20221116";"17386";"20221118";"f_12667";"20221118";"20230131";"FA";"EUR";"3661871125611";"3661871125611";"MINI BROSS NET GAZ 50 ML - Pack de 24";"Nettoyage";1.00;;58.80;;;58.80;2000;11.76;70.56;;;;
"MG Developpement";"441407061";"517780870";;"576";"ACUI";"MG4_187871";"20221116";"17386";"20221118";"f_12667";"20221118";"20230131";"FA";"EUR";"3661871125642";"3661871125642";"LINGETTE NETTOYANTE AUDIO - Pack de 20 boites de 50 Lingettes";"Nettoyage";1.00;;42.00;;;42.00;2000;8.40;50.40;;;;
"MG Developpement";"441407061";"517780870";;"576";;"MG4_187871";"20221116";"17386";"20221118";"f_12667";"20221118";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;12.00;;;12.00;2000;2.40;14.40;;;;
"MG Developpement";"441407061";"517780870";;"518";"ACUI";"1_187845";"20221116";"17387";"20221118";"f_12668";"20221118";"20230131";"FA";"EUR";"3661871125642";"3661871125642";"LINGETTE NETTOYANTE AUDIO - Pack de 20 boites de 50 Lingettes";"Nettoyage";5.00;;42.00;;;210.00;2000;42.00;252.00;;;;
"MG Developpement";"441407061";"517780870";;"518";;"1_187845";"20221116";"17387";"20221118";"f_12668";"20221118";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;20.00;;;20.00;2000;4.00;24.00;;;;
"MG Developpement";"441407061";"517780870";;"520";"ACUI";"C520002535";"20221114";"17388";"20221118";"f_12669";"20221118";"20230131";"FA";"EUR";"3661871125642";"3661871125642";"LINGETTE NETTOYANTE AUDIO - Pack de 20 boites de 50 Lingettes";"Nettoyage";8.00;;42.00;;;336.00;2000;67.20;403.20;;;;
"MG Developpement";"441407061";"517780870";;"567";"ACUI";"10112022_1";"20221110";"17389";"20221118";"f_12670";"20221118";"20230131";"FA";"EUR";"3661871125611";"3661871125611";"MINI BROSS NET GAZ 50 ML - Pack de 24";"Nettoyage";3.00;;58.80;;;176.40;2000;35.28;211.68;;;;
"MG Developpement";"441407061";"517780870";;"567";"ACUI";"10112022_1";"20221110";"17389";"20221118";"f_12670";"20221118";"20230131";"FA";"EUR";"3661871125642";"3661871125642";"LINGETTE NETTOYANTE AUDIO - Pack de 20 boites de 50 Lingettes";"Nettoyage";4.00;;42.00;;;168.00;2000;33.60;201.60;;;;
"MG Developpement";"441407061";"517780870";;"567";"ACUI";"10112022_1";"20221110";"17389";"20221118";"f_12670";"20221118";"20230131";"FA";"EUR";"3661871125697";"3661871125697";"SPRAY GAZ SECHAGE (Labo) 150 ML - Unité";"Séchage";2.00;;3.50;;;7.00;2000;1.40;8.40;;;;
"MG Developpement";"441407061";"517780870";;"567";"ACUI";"10112022_1";"20221110";"17389";"20221118";"f_12670";"20221118";"20230131";"FA";"EUR";"3661871125703";"3661871125703";"CAPSULE ASSECHANTE - Pack de 24 boites de 4 capsules";"Séchage";3.00;;48.00;;;144.00;2000;28.80;172.80;;;;
"MG Developpement";"441407061";"517780870";;"GA04";"GRAN";"C140001843";"20221116";"17390";"20221118";"f_12671";"20221118";"20230131";"FA";"EUR";"3661871126045";"3661871126045";"LINGETTES NETTOYANTE AUDIO (GA) - Pack 20 boites de 50 Lingettes";"Nettoyage";2.00;;42.00;;;84.00;2000;16.80;100.80;;;;
"MG Developpement";"441407061";"517780870";;"GA04";"GRAN";"C140001843";"20221116";"17390";"20221118";"f_12671";"20221118";"20230131";"FA";"EUR";"3661871126076";"3661871126076";"GOBELET DE SECHAGE (GA) - Pack de 20";"Séchage";1.00;;24.00;;;24.00;2000;4.80;28.80;;;;
"MG Developpement";"441407061";"517780870";;"GA04";;"C140001843";"20221116";"17390";"20221118";"f_12671";"20221118";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;12.00;;;12.00;2000;2.40;14.40;;;;
"MG Developpement";"441407061";"517780870";;"GF04";"GRAN";"001GF04";"20221116";"17391";"20221118";"f_12672";"20221118";"20230131";"FA";"EUR";"3661871125994";"3661871125994";"MINI BROSS NET 50ML (GA) - Pack de 24";"Nettoyage";4.00;;58.80;;;235.20;2000;47.04;282.24;;;;
"MG Developpement";"441407061";"517780870";;"GF04";;"001GF04";"20221116";"17391";"20221118";"f_12672";"20221118";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;16.00;;;16.00;2000;3.20;19.20;;;;
"MG Developpement";"441407061";"517780870";;"GA06";"GRAN";"C170000890";"20221117";"17392";"20221118";"f_12673";"20221118";"20230131";"FA";"EUR";"3661871126045";"3661871126045";"LINGETTES NETTOYANTE AUDIO (GA) - Pack 20 boites de 50 Lingettes";"Nettoyage";3.00;;42.00;;;126.00;2000;25.20;151.20;;;;
"MG Developpement";"441407061";"517780870";;"GA06";;"C170000890";"20221117";"17392";"20221118";"f_12673";"20221118";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;16.00;;;16.00;2000;3.20;19.20;;;;
"MG Developpement";"441407061";"517780870";;"GA101";"GRAN";"1234_81";"20221116";"17393";"20221118";"f_12674";"20221118";"20230131";"FA";"EUR";"3661871125994";"3661871125994";"MINI BROSS NET 50ML (GA) - Pack de 24";"Nettoyage";1.00;;58.80;;;58.80;2000;11.76;70.56;;;;
"MG Developpement";"441407061";"517780870";;"GA101";"GRAN";"1234_81";"20221116";"17393";"20221118";"f_12674";"20221118";"20230131";"FA";"EUR";"3661871126045";"3661871126045";"LINGETTES NETTOYANTE AUDIO (GA) - Pack 20 boites de 50 Lingettes";"Nettoyage";2.00;;42.00;;;84.00;2000;16.80;100.80;;;;
"MG Developpement";"441407061";"517780870";;"GA101";"GRAN";"1234_81";"20221116";"17393";"20221118";"f_12674";"20221118";"20230131";"FA";"EUR";"3661871126076";"3661871126076";"GOBELET DE SECHAGE (GA) - Pack de 20";"Séchage";1.00;;24.00;;;24.00;2000;4.80;28.80;;;;
"MG Developpement";"441407061";"517780870";;"GA101";"GRAN";"1234_81";"20221116";"17393";"20221118";"f_12674";"20221118";"20230131";"FA";"EUR";"3661871126144";"3661871126144";"SPRAY GAZ SECHAGE 150ML (GA) - Pack de 12";"Séchage";1.00;;42.00;;;42.00;2000;8.40;50.40;;;;
"MG Developpement";"441407061";"517780870";;"GA101";;"1234_81";"20221116";"17393";"20221118";"f_12674";"20221118";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;16.00;;;16.00;2000;3.20;19.20;;;;
"MG Developpement";"441407061";"517780870";;"561";"ACUI";"C561000691";"20221119";"17469";"20221122";"f_12707";"20221122";"20230131";"FA";"EUR";"3661871125642";"3661871125642";"LINGETTE NETTOYANTE AUDIO - Pack de 20 boites de 50 Lingettes";"Nettoyage";1.00;;42.00;;;42.00;2000;8.40;50.40;;;;
"MG Developpement";"441407061";"517780870";;"561";;"C561000691";"20221119";"17469";"20221122";"f_12707";"20221122";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;10.00;;;10.00;2000;2.00;12.00;;;;
"MG Developpement";"441407061";"517780870";;"ARI004";"GRAN";"C804000002";"20221118";"17470";"20221122";"f_12708";"20221122";"20230131";"FA";"EUR";"3661871125994";"3661871125994";"MINI BROSS NET 50ML (GA) - Pack de 24";"Nettoyage";5.00;;58.80;;;294.00;2000;58.80;352.80;;;;
"MG Developpement";"441407061";"517780870";;"ARI004";;"C804000002";"20221118";"17470";"20221122";"f_12708";"20221122";"20230131";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;16.00;;;16.00;2000;3.20;19.20;;;;
"MG Developpement";"441407061";"517780870";;"GA05";"GRAN";"C160000363";"20221121";"17471";"20221122";"f_12709";"20221122";"20230131";"FA";"EUR";"3661871126045";"3661871126045";"LINGETTES NETTOYANTE AUDIO (GA) - Pack 20 boites de 50 Lingettes";"Nettoyage";3.00;;42.00;;;126.00;2000;25.20;151.20;;;;
